Framework 1,Framework 2,Similarity
TCFD,TNFD,0.5839409060203112
TCFD,PRA,0.2730686519708898
TCFD,IFRS,0.2609125928445296
TCFD,TPT,0.1371060654404573
TCFD,BMA,0.23608424584381282
TCFD,MAS,0.23776556043462319
TCFD,ESRS,0.15567206435121042
TCFD,OSFI,0.23439122204269683
TNFD,PRA,0.26212777422430616
TNFD,IFRS,0.24842039945006772
TNFD,TPT,0.17511612896553494
TNFD,BMA,0.2187226692920709
TNFD,MAS,0.21794932497044403
TNFD,ESRS,0.15590236308338765
TNFD,OSFI,0.20535417050123214
PRA,IFRS,0.2995363886926382
PRA,TPT,0.23302435825268428
PRA,BMA,0.4032735864873286
PRA,MAS,0.3784382710369622
PRA,ESRS,0.2269684903028034
PRA,OSFI,0.27517913434749997
IFRS,TPT,0.2874849606305361
IFRS,BMA,0.26682314644681243
IFRS,MAS,0.2500543958740309
IFRS,ESRS,0.22721959570720437
IFRS,OSFI,0.1684209586431583
TPT,BMA,0.21122716888785362
TPT,MAS,0.1905254645156674
TPT,ESRS,0.2575311665149296
TPT,OSFI,0.21526032388210298
BMA,MAS,0.44722233104086156
BMA,ESRS,0.22502909949008787
BMA,OSFI,0.31030812229101473
MAS,ESRS,0.21739759569646364
MAS,OSFI,0.3005068784481601
ESRS,OSFI,0.19031452880257607
